idx,freq_mhz,t_ms,rssi_dbm,snr_db,epoch_s
0,920.0,208,-17.0,9.125,822915356
1,920.25,419,-18.5,9.375,822915357
2,920.4999,630,-20.0,9.5,822915357
3,920.75,841,-20.0,9.75,822915357
4,921.0,1052,-20.5,9.375,822915357
5,921.25,1263,-20.5,9.375,822915358
6,921.5001,1474,-20.0,9.125,822915358
7,921.75,1685,-20.0,9.375,822915358
8,922.0,1896,-20.0,9.5,822915358
9,922.25,2107,-20.5,9.375,822915358
10,922.4999,2318,-20.0,9.375,822915359
11,922.75,2528,-22.0,9.25,822915359
12,923.0,2739,-21.0,9.0,822915359
13,923.25,2950,-20.0,9.5,822915359
15,923.75,3372,-20.0,9.75,822915360
16,924.0,3583,-21.0,9.25,822915360
