idx,freq_mhz,t_ms,rssi_dbm,snr_db,epoch_s
0,920.6,1216,-17,6.044643,822752804
1,920.7,2435,-17,5.830357,822752806
2,920.7999,3653,-17,6.155172,822752807
3,920.8999,4872,-17,6.133929,822752808
4,920.9999,6089,-17,6.053571,822752809
5,921.0999,7308,-17,5.982143,822752811
6,921.1998,8527,-17,5.821429,822752812
7,921.2998,9745,-17,6.017857,822752813
8,921.3998,10961,-17,5.883929,822752814
9,921.4998,12180,-17,5.866071,822752815
10,921.5997,13399,-17,5.875,822752817
11,921.6997,14616,-17,5.991071,822752818
12,921.7997,15834,-17,5.857143,822752819
13,921.8997,17054,-17,5.705357,822752820
14,921.9996,18271,-17,5.848214,822752821
15,922.0996,19489,-16,5.853448,822752823
16,922.1996,20708,-17,5.901786,822752824
17,922.2996,21925,-17,6.008929,822752825
18,922.3995,23145,-17,6.071429,822752826
19,922.4995,24362,-18,6.267857,822752828
20,922.5995,25580,-17,6.116071,822752829
21,922.6995,26798,-16,5.922414,822752830
22,922.7994,28018,-17,6.137931,822752831
23,922.8994,29238,-17,6.3125,822752832
24,922.9994,30456,-17,6.0,822752834
25,923.0994,31674,-17,5.928571,822752835
26,923.1993,32893,-17,6.017857,822752836
27,923.2993,34111,-17,6.241071,822752837
28,923.3993,35330,-17,5.946429,822752839

