run_id,environment,method,rssi_pairs,rssi_probe_packets,edhoc_payload_bytes_est,extra_phy_tag_bytes,edhoc_toa_ms_est,total_toa_ms_est_with_rssi_probes,physical_layer_binding,usable_rssi_bits,bdr_before,mismatches_after,estimated_min_entropy_after_leakage,kauth_match,tag_match,tampered_transcript_rejected,wrong_kauth_rejected,session_key_match,functional_success,interpretation
run04,outdoor_los,EDHOC-only baseline,0,0,101,0,226.048,226.048,False,,,,,,,,,True,True,Baseline EDHOC bootstrap; no RSSI-derived physical-layer binding.
run04,outdoor_los,RSSI-bound EDHOC,345,690,117,16,251.648,56953.088,True,197,0.0,0,137.87654633080257,True,True,True,True,True,True,"Adds RSSI-derived K_auth binding. Good thesis signal if success=True, but overhead and entropy margin must be evaluated."
