t_ms,rssi_dbm,snr_db,epoch_s
33637,-15,9.75,822931582
33917,-19,9.5,822931582
34058,-16,9.5,822931582
34197,-15,9.5,822931582
34338,-16,9.75,822931582
34478,-15,9.75,822931582
34618,-16,9.5,822931583
34758,-26,9.25,822931583
34898,-15,9.5,822931583
35041,-15,9.25,822931583
35181,-15,9.5,822931583
35321,-15,9.5,822931583
35461,-15,9.25,822931583
35601,-15,9.75,822931584
35741,-15,9.5,822931584
35882,-16,9.75,822931584
36022,-15,9.75,822931584
36162,-15,10.0,822931584
36302,-15,9.25,822931584
36444,-26,9.0,822931584
36582,-15,9.5,822931585
36722,-15,9.5,822931585
36862,-16,9.25,822931585
37003,-15,9.25,822931585
37143,-15,10.0,822931585
37283,-16,9.25,822931585
37425,-16,9.25,822931585
37565,-15,9.75,822931586
37706,-15,9.75,822931586
37846,-15,10.0,822931586
37987,-15,9.5,822931586
38126,-15,9.25,822931586
38266,-15,9.75,822931586
38406,-16,9.25,822931586
38546,-15,9.5,822931587
38687,-15,9.25,822931587
38827,-15,9.25,822931587
38967,-15,9.5,822931587
39107,-15,9.5,822931587
39247,-15,9.5,822931587
39387,-15,9.5,822931587
39527,-15,9.25,822931588
39667,-16,9.25,822931588
39950,-15,10.25,822931588
40090,-15,9.25,822931588
40230,-15,9.25,822931588
40371,-15,9.25,822931588
40511,-15,9.25,822931589
40651,-16,9.75,822931589
40791,-15,9.5,822931589
40931,-15,9.5,822931589
41071,-15,9.5,822931589
41211,-15,9.5,822931589
41351,-15,9.25,822931589
41492,-15,9.5,822931590
41632,-15,10.0,822931590
41912,-19,9.75,822931590
42052,-15,9.25,822931590
42192,-15,9.5,822931590
42332,-16,9.5,822931590
42473,-15,9.25,822931590
42613,-25,8.75,822931591
42753,-16,10.0,822931591
42893,-25,9.0,822931591
43033,-15,9.75,822931591
43175,-15,9.5,822931591
43316,-15,9.25,822931591
43456,-25,9.25,822931591
43598,-26,9.25,822931592
43736,-15,9.75,822931592
43876,-15,9.25,822931592
44016,-15,9.5,822931592
44156,-16,9.5,822931592
44296,-16,9.5,822931592
44437,-15,9.25,822931592
44577,-16,9.25,822931593
44717,-16,9.25,822931593
44857,-15,9.75,822931593
44997,-15,9.5,822931593
45137,-15,9.5,822931593
45278,-16,9.0,822931593
45418,-16,9.5,822931593
45560,-16,9.5,822931594
45702,-16,9.75,822931594
45840,-16,9.75,822931594
45980,-26,9.25,822931594
46121,-15,9.25,822931594
46261,-15,9.75,822931594
46401,-15,9.5,822931594
46541,-16,9.0,822931595
46681,-15,9.5,822931595
46821,-15,9.5,822931595
46961,-25,9.25,822931595
47101,-15,10.25,822931595
47242,-15,9.5,822931595
47382,-15,10.0,822931595
47522,-15,9.75,822931596
47662,-15,9.0,822931596
47802,-15,10.0,822931596
47942,-16,9.75,822931596
48082,-15,9.25,822931596
48223,-15,9.5,822931596
48363,-15,9.75,822931596
48643,-18,9.25,822931597
48783,-16,9.0,822931597
48925,-15,9.75,822931597
49065,-15,9.5,822931597
49205,-15,9.5,822931597
49346,-16,9.0,822931597
49486,-15,9.0,822931598
49626,-15,9.75,822931598
49766,-15,10.0,822931598
49908,-15,10.5,822931598
50046,-26,9.5,822931598
50186,-15,9.75,822931598
50327,-15,9.75,822931598
50467,-15,9.5,822931598
50607,-15,9.75,822931599
50747,-15,9.75,822931599
50887,-15,9.5,822931599
51027,-15,9.75,822931599
51167,-15,9.75,822931599
51310,-15,9.75,822931599
51450,-15,9.25,822931599
51732,-22,9.5,822931600
51872,-15,10.0,822931600
52011,-15,10.0,822931600
52151,-15,10.0,822931600
52291,-15,9.5,822931600
52433,-16,9.5,822931600
52571,-16,9.5,822931601
52711,-16,9.5,822931601
52851,-16,9.5,822931601
52992,-16,9.75,822931601
53132,-15,9.5,822931601
53412,-26,9.0,822931601
53552,-16,9.25,822931602
53694,-16,9.5,822931602
53834,-15,10.25,822931602
53975,-16,9.5,822931602
54115,-15,9.5,822931602
54257,-15,9.25,822931602
54395,-15,9.5,822931602
54535,-15,9.25,822931603
54675,-16,10.0,822931603
54815,-15,9.75,822931603
54956,-15,9.5,822931603
55096,-15,9.5,822931603
55236,-15,10.0,822931603
55376,-15,10.0,822931603
55516,-15,10.0,822931604
55656,-15,9.5,822931604
55796,-15,10.0,822931604
55937,-15,10.25,822931604
56077,-15,10.75,822931604
56217,-15,10.5,822931604
56357,-15,10.0,822931604
56497,-15,9.75,822931605
56637,-15,9.25,822931605
56919,-18,10.0,822931605
57061,-16,9.25,822931605
57201,-16,9.0,822931605
57341,-16,9.25,822931605
57481,-16,9.25,822931605
57621,-16,9.5,822931606
57761,-15,9.75,822931606
58042,-19,9.25,822931606
58182,-16,9.5,822931606
58321,-16,9.25,822931606
58461,-16,10.25,822931606
58601,-16,9.0,822931607
58742,-16,9.5,822931607
58882,-16,9.0,822931607
59022,-16,9.0,822931607
59161,-16,9.25,822931607
59303,-15,9.0,822931607
59444,-16,9.25,822931607
59584,-16,9.75,822931608
59724,-16,9.5,822931608
59864,-16,9.25,822931608
60004,-16,9.0,822931608
60144,-16,9.5,822931608
60284,-26,9.25,822931608
60424,-16,10.0,822931608
60564,-15,9.0,822931609
60704,-16,9.75,822931609
60844,-16,9.25,822931609
60984,-15,9.0,822931609
61124,-16,9.25,822931609
61264,-16,9.5,822931609
61404,-16,9.5,822931609
61544,-16,9.0,822931610
61684,-16,9.0,822931610
61824,-26,9.5,822931610
61964,-15,10.0,822931610
62104,-16,9.5,822931610
62244,-16,9.5,822931610
62384,-16,9.25,822931610
62524,-16,9.5,822931611
62664,-16,9.5,822931611
62806,-16,9.25,822931611
62946,-16,9.5,822931611
63086,-16,9.25,822931611
63226,-16,9.25,822931611
63366,-15,9.25,822931611
63506,-16,9.5,822931612
63646,-16,9.25,822931612
63787,-16,9.5,822931612
63926,-26,9.0,822931612
64066,-16,9.5,822931612
64207,-16,9.5,822931612
64346,-15,9.0,822931612
64486,-16,9.5,822931613
64627,-16,9.5,822931613
64767,-15,9.25,822931613
64906,-16,9.75,822931613
65047,-16,9.5,822931613
65189,-15,9.5,822931613
65329,-16,9.5,822931613
65469,-15,9.0,822931613
65609,-16,9.25,822931614
65749,-16,9.5,822931614
65889,-16,9.25,822931614
66029,-16,9.25,822931614
66169,-15,9.75,822931614
66309,-16,9.5,822931614
66449,-16,9.25,822931614
66589,-16,9.5,822931615
66729,-16,9.25,822931615
66869,-16,9.0,822931615
67009,-16,9.25,822931615
67149,-16,9.25,822931615
67289,-16,8.75,822931615
67429,-16,9.5,822931615
67571,-26,9.25,822931616
67711,-26,8.75,822931616
67851,-15,9.0,822931616
67991,-16,9.25,822931616
68131,-16,9.5,822931616
68411,-19,9.0,822931616
68551,-15,9.25,822931617
68691,-16,9.75,822931617
68832,-16,9.5,822931617
68971,-15,9.5,822931617
69112,-15,9.0,822931617
69254,-15,9.25,822931617
69392,-15,9.25,822931617
69532,-16,9.5,822931618
69672,-16,9.5,822931618
69812,-16,9.25,822931618
69952,-16,9.0,822931618
70092,-16,9.25,822931618
70232,-16,9.25,822931618
70372,-15,9.25,822931618
70512,-15,9.25,822931619
70652,-15,9.5,822931619
70792,-15,10.25,822931619
70934,-16,9.75,822931619
71074,-16,9.75,822931619
71214,-16,9.5,822931619
71354,-15,9.25,822931619
