t_ms,rssi_dbm,snr_db,epoch_s
1045,-7,9.5,822929893
1181,-7,9.75,822929893
1316,-7,9.25,822929893
1451,-7,9.75,822929893
1588,-8,9.5,822929893
1720,-7,9.75,822929893
1855,-7,9.75,822929893
1990,-7,9.25,822929894
2124,-7,9.0,822929894
2259,-8,9.5,822929894
2399,-13,9.0,822929894
2539,-12,9.25,822929894
2679,-12,9.5,822929894
2819,-13,9.25,822929894
2959,-12,9.0,822929894
3099,-13,9.5,822929895
3379,-16,9.25,822929895
3519,-12,9.5,822929895
3659,-13,9.5,822929895
3799,-12,9.25,822929895
3939,-12,9.25,822929895
4079,-12,9.75,822929896
4219,-12,10.75,822929896
4361,-12,9.0,822929896
4501,-12,9.5,822929896
4641,-12,9.25,822929896
4781,-13,9.75,822929896
4921,-14,9.25,822929896
5061,-13,9.0,822929897
5201,-12,9.5,822929897
5341,-12,11.25,822929897
5481,-12,9.5,822929897
5621,-12,9.5,822929897
5761,-12,9.5,822929897
5902,-12,9.25,822929897
6041,-12,9.25,822929898
6182,-13,9.5,822929898
6322,-12,9.5,822929898
6462,-13,9.0,822929898
6601,-12,9.25,822929898
6744,-13,8.75,822929898
6882,-13,9.5,822929898
7022,-13,9.25,822929899
7162,-21,9.0,822929899
7302,-13,9.25,822929899
7442,-13,9.25,822929899
7582,-13,9.0,822929899
7724,-13,9.25,822929899
7864,-13,9.0,822929899
8004,-13,9.25,822929900
8144,-13,9.5,822929900
8285,-15,9.0,822929900
8424,-13,9.0,822929900
8564,-13,9.25,822929900
8704,-12,8.75,822929900
8844,-13,9.5,822929900
8984,-13,9.25,822929900
9124,-13,9.0,822929901
9264,-13,9.0,822929901
9404,-13,9.25,822929901
9544,-12,9.25,822929901
9684,-22,9.0,822929901
9824,-13,9.25,822929901
10106,-20,9.25,822929902
10246,-13,9.5,822929902
10387,-13,9.25,822929902
10526,-13,9.25,822929902
10666,-12,9.25,822929902
10807,-13,9.25,822929902
10947,-13,9.25,822929902
11087,-12,9.25,822929903
11227,-12,9.5,822929903
11366,-12,9.25,822929903
11507,-13,9.75,822929903
11647,-12,9.0,822929903
11927,-13,9.25,822929903
12067,-12,9.25,822929904
12207,-14,9.25,822929904
12347,-12,9.25,822929904
12489,-12,9.5,822929904
12631,-12,9.0,822929904
12769,-13,9.25,822929904
12909,-13,9.5,822929904
13049,-13,9.75,822929905
13189,-14,9.25,822929905
13329,-12,9.25,822929905
13469,-13,9.25,822929905
13609,-12,9.25,822929905
13749,-13,9.0,822929905
13889,-13,9.25,822929905
14029,-13,9.75,822929906
14169,-12,10.0,822929906
14309,-13,9.0,822929906
14449,-23,9.25,822929906
14589,-13,10.0,822929906
14729,-13,9.25,822929906
14869,-13,9.25,822929906
15009,-12,9.25,822929907
15149,-12,9.25,822929907
15289,-22,9.75,822929907
15429,-13,9.5,822929907
15571,-14,9.25,822929907
15710,-13,9.25,822929907
15852,-13,10.0,822929907
15992,-13,9.5,822929908
16132,-13,9.5,822929908
16272,-13,9.25,822929908
16412,-12,9.5,822929908
16553,-14,9.25,822929908
16692,-13,9.25,822929908
16832,-13,9.25,822929908
16972,-12,9.5,822929908
17112,-12,9.5,822929909
17252,-13,9.5,822929909
17392,-13,9.25,822929909
17532,-12,9.0,822929909
17672,-12,9.5,822929909
17812,-13,9.0,822929909
17952,-13,9.0,822929909
18092,-13,9.25,822929910
18234,-14,9.25,822929910
18376,-12,9.5,822929910
18514,-12,9.25,822929910
18654,-13,9.75,822929910
18794,-13,9.25,822929910
18934,-13,9.25,822929910
19074,-13,9.25,822929911
19214,-12,9.5,822929911
19354,-13,9.5,822929911
19494,-12,9.0,822929911
19634,-13,9.25,822929911
19774,-12,9.5,822929911
19915,-12,9.5,822929911
20055,-13,9.25,822929912
20194,-13,9.5,822929912
20335,-15,9.5,822929912
20475,-13,9.0,822929912
20615,-13,9.25,822929912
20755,-13,9.25,822929912
20895,-13,9.5,822929912
21034,-13,9.25,822929913
21175,-12,9.0,822929913
21315,-12,9.75,822929913
21455,-13,9.5,822929913
21597,-13,9.75,822929913
21736,-12,9.25,822929913
21876,-12,9.25,822929913
22017,-13,9.5,822929914
22157,-13,9.25,822929914
22297,-12,9.5,822929914
22436,-12,9.5,822929914
22577,-14,9.5,822929914
22717,-12,9.0,822929914
22857,-13,10.0,822929914
22997,-13,9.5,822929915
23137,-13,9.25,822929915
23277,-13,9.25,822929915
23417,-12,9.75,822929915
