t_ms,rssi_dbm,snr_db,epoch_s
3442,-10,9.75,822931172
3578,-10,9.25,822931172
3715,-10,9.25,822931172
3848,-10,10.0,822931172
3983,-10,9.5,822931172
4124,-11,9.5,822931172
4252,-10,9.75,822931173
4387,-11,9.5,822931173
4521,-10,9.75,822931173
4656,-10,10.0,822931173
4796,-15,9.0,822931173
4936,-15,9.5,822931173
5076,-15,9.5,822931173
5216,-15,9.0,822931174
5356,-15,9.5,822931174
5496,-15,9.25,822931174
5636,-15,9.25,822931174
5776,-15,9.5,822931174
5916,-15,9.25,822931174
6056,-15,9.0,822931174
6198,-15,9.0,822931174
6336,-15,9.0,822931175
6476,-15,9.75,822931175
6616,-15,9.25,822931175
6758,-15,9.25,822931175
6899,-15,9.0,822931175
7038,-15,9.5,822931175
7178,-15,9.25,822931175
7319,-15,9.25,822931176
7459,-15,9.5,822931176
7598,-15,9.75,822931176
7739,-15,9.25,822931176
7879,-15,9.25,822931176
8018,-25,9.25,822931176
8159,-15,9.5,822931176
8299,-15,9.75,822931177
8439,-15,9.5,822931177
8579,-15,9.25,822931177
8719,-15,9.5,822931177
8859,-15,9.25,822931177
8999,-16,9.0,822931177
9139,-16,9.25,822931177
9279,-16,9.25,822931178
9419,-16,9.5,822931178
9559,-16,9.25,822931178
9699,-16,9.25,822931178
9839,-16,9.5,822931178
9981,-15,9.5,822931178
10121,-16,9.25,822931178
10261,-16,9.0,822931179
10401,-16,9.25,822931179
10541,-16,9.5,822931179
10681,-15,9.5,822931179
10821,-16,9.0,822931179
10961,-15,9.25,822931179
11101,-16,9.25,822931179
11241,-16,6.0,822931180
11381,-15,9.5,822931180
11521,-16,9.25,822931180
11661,-15,9.0,822931180
11802,-15,9.0,822931180
11941,-15,9.5,822931180
12081,-16,9.5,822931180
12221,-15,9.25,822931181
12362,-16,9.25,822931181
12504,-16,9.25,822931181
12644,-16,9.25,822931181
12784,-16,9.25,822931181
12924,-16,9.0,822931181
13064,-15,9.25,822931181
13204,-16,9.0,822931181
13344,-15,9.0,822931182
13484,-15,8.75,822931182
13624,-16,9.5,822931182
13764,-16,9.0,822931182
13904,-16,9.0,822931182
14044,-16,9.25,822931182
14184,-16,9.25,822931182
14324,-16,9.25,822931183
14464,-16,9.0,822931183
14604,-16,9.25,822931183
14744,-16,9.5,822931183
14886,-16,9.5,822931183
15028,-16,9.5,822931183
15166,-16,9.5,822931183
15306,-16,9.25,822931184
15446,-16,9.5,822931184
15586,-16,9.75,822931184
15726,-16,9.5,822931184
15866,-16,8.75,822931184
16006,-16,9.75,822931184
16146,-16,9.5,822931184
16287,-16,9.5,822931185
16427,-16,9.25,822931185
16566,-16,9.5,822931185
16707,-15,9.5,822931185
16847,-16,9.25,822931185
17126,-16,9.5,822931185
17267,-16,9.0,822931186
17407,-16,9.25,822931186
17547,-15,9.5,822931186
17688,-16,9.5,822931186
17827,-16,9.5,822931186
17967,-15,9.5,822931186
18107,-15,9.75,822931186
18249,-16,9.5,822931187
18389,-15,9.75,822931187
18529,-16,9.75,822931187
18671,-15,9.25,822931187
18809,-15,9.5,822931187
18949,-15,9.5,822931187
19089,-16,9.25,822931187
19229,-16,9.25,822931188
19369,-15,9.5,822931188
19509,-15,9.25,822931188
19649,-15,9.0,822931188
19789,-16,9.25,822931188
19929,-16,9.25,822931188
20069,-16,9.25,822931188
20209,-15,9.5,822931188
20349,-16,9.75,822931189
20489,-16,9.75,822931189
20631,-15,9.5,822931189
20772,-15,9.5,822931189
20912,-15,9.25,822931189
21052,-15,9.5,822931189
21191,-16,9.25,822931189
21332,-15,8.75,822931190
21472,-16,9.0,822931190
21612,-15,9.0,822931190
21752,-16,9.5,822931190
21892,-16,9.5,822931190
22032,-15,9.25,822931190
22172,-15,9.75,822931190
22312,-15,9.0,822931191
22454,-15,9.0,822931191
22592,-15,9.5,822931191
22732,-16,9.5,822931191
22872,-16,9.25,822931191
23012,-15,9.25,822931191
23152,-15,9.25,822931191
23292,-16,9.5,822931192
23432,-15,9.5,822931192
23572,-16,9.5,822931192
23712,-15,9.0,822931192
23852,-15,9.0,822931192
23994,-15,9.25,822931192
24134,-16,9.25,822931192
24274,-16,9.0,822931193
24414,-15,9.25,822931193
24554,-15,9.5,822931193
24694,-16,9.25,822931193
24834,-15,9.25,822931193
24974,-15,9.5,822931193
25114,-15,9.75,822931193
25254,-16,10.0,822931194
25394,-15,10.0,822931194
25534,-15,9.75,822931194
25674,-16,9.0,822931194
25814,-15,9.25,822931194
25955,-16,9.5,822931194
26094,-15,9.75,822931194
26234,-16,9.25,822931195
26377,-15,10.0,822931195
26516,-15,9.75,822931195
26656,-16,9.75,822931195
26797,-15,9.5,822931195
26937,-16,9.25,822931195
27077,-16,9.0,822931195
27217,-15,9.5,822931196
27357,-15,9.25,822931196
27497,-16,9.5,822931196
27637,-16,9.25,822931196
27777,-16,9.25,822931196
27917,-15,9.75,822931196
28057,-16,9.0,822931196
28197,-15,9.75,822931196
28339,-16,9.0,822931197
28477,-15,9.25,822931197
28617,-15,9.25,822931197
28759,-16,9.5,822931197
28899,-15,9.25,822931197
29039,-16,9.0,822931197
29179,-15,9.5,822931197
29319,-15,9.5,822931198
29459,-16,9.25,822931198
29599,-15,9.25,822931198
29739,-15,9.0,822931198
29879,-15,9.0,822931198
30019,-16,9.0,822931198
30159,-15,9.0,822931198
30299,-15,9.25,822931199
30439,-15,9.25,822931199
30580,-15,9.5,822931199
30719,-16,9.25,822931199
30859,-16,9.25,822931199
30999,-16,9.25,822931199
31140,-15,9.25,822931199
31280,-15,9.0,822931200
31419,-16,9.5,822931200
31562,-15,9.75,822931200
31703,-15,9.5,822931200
31842,-16,9.25,822931200
31982,-16,9.75,822931200
32124,-15,9.5,822931200
32266,-15,9.75,822931201
32404,-15,9.75,822931201
32545,-15,9.25,822931201
32685,-15,9.25,822931201
32825,-15,9.5,822931201
32965,-15,9.25,822931201
33105,-15,9.25,822931201
33245,-15,9.75,822931202
33385,-16,9.75,822931202
33526,-16,9.0,822931202
33666,-24,9.25,822931202
33806,-15,9.5,822931202
33946,-15,9.25,822931202
34086,-15,9.25,822931202
34226,-15,9.25,822931203
34366,-15,8.75,822931203
34509,-15,9.0,822931203
34649,-15,9.25,822931203
34789,-16,9.25,822931203
34929,-15,9.0,822931203
35069,-15,9.5,822931203
35209,-15,9.5,822931203
35350,-15,9.0,822931204
35490,-16,8.75,822931204
35630,-16,9.25,822931204
35770,-15,9.25,822931204
35910,-15,9.5,822931204
36052,-16,9.25,822931204
36190,-15,9.5,822931204
36331,-15,9.25,822931205
36471,-15,9.5,822931205
36611,-15,9.5,822931205
36751,-15,9.0,822931205
36891,-15,9.5,822931205
37031,-15,9.5,822931205
37172,-15,9.25,822931205
37312,-15,9.5,822931206
37452,-15,9.5,822931206
37592,-15,9.0,822931206
37732,-15,9.25,822931206
37876,-15,9.5,822931206
38015,-15,8.75,822931206
38155,-15,9.5,822931206
38295,-15,9.0,822931207
38435,-15,9.75,822931207
38575,-15,9.25,822931207
38715,-15,9.5,822931207
38855,-16,9.5,822931207
38996,-15,9.5,822931207
39276,-16,9.25,822931208
39416,-15,9.5,822931208
39556,-16,9.0,822931208
39696,-15,9.25,822931208
39836,-16,9.25,822931208
39976,-15,9.75,822931208
40117,-15,9.5,822931208
40259,-16,9.25,822931209
40399,-15,9.75,822931209
40539,-16,9.5,822931209
40680,-15,9.5,822931209
40819,-15,9.5,822931209
40960,-16,9.25,822931209
41100,-15,9.25,822931209
41240,-26,9.0,822931210
41382,-15,9.0,822931210
41520,-15,9.25,822931210
41660,-16,9.0,822931210
41801,-16,9.25,822931210
41941,-15,9.25,822931210
42081,-15,9.25,822931210
42221,-15,9.5,822931211
42361,-15,9.5,822931211
42501,-15,9.25,822931211
42643,-15,9.75,822931211
